BE01,male,Eric Rios,18/09/1991,31,PRO01,CA01,PA01,PY01
BE02,female,Jane Johnson,22/05/1988,34,PRO02,CA02,PA02,PY02
BE03,male,Scott Brady,24/05/1987,35,PRO03,CA03,PA03,PY03
BE04,male,Ian Higgins,03/11/1997,25,PRO04,CA04,PA04,PY04
BE05,male,Kevin Rivera,13/08/1990,32,PRO05,CA05,PA05,PY05
BE06,female,Kelly Savage,17/02/1996,26,PRO06,CA06,PA06,PY06
BE07,na,Brittany Jones,05/03/1989,33,PRO07,CA07,PA07,PY07
BE08,male,Donald Stone,31/07/1994,28,PRO08,CA08,PA08,PY08
BE09,male,Craig Martin,27/07/1983,39,PRO09,CA09,PA09,PY09
BE10,na,Mr. Christopher English,17/06/1983,39,PRO10,CA10,PA10,PY10
BE11,female,Theresa Anderson,23/12/1997,25,PRO11,CA11,PA11,PY11
BE12,male,Jeremy Fuller,21/03/1991,31,PRO12,CA12,PA12,PY12
BE13,female,Lisa Flowers,25/01/1991,31,PRO13,CA13,PA13,PY13
BE14,male,Victor Key,26/07/1983,39,PRO14,CA14,PA14,PY14
BE15,male,Charles Williams,13/01/1987,35,PRO15,CA15,PA15,PY15
BE16,male,Troy Ford,15/03/1986,36,PRO16,CA16,PA16,PY16
BE17,female,Jennifer Moss,13/05/1991,31,PRO17,CA17,PA17,PY17
BE18,female,Pamela Hunt,07/04/1998,24,PRO18,CA18,PA18,PY18
BE19,male,Jose Benson,14/07/1983,39,PRO19,CA19,PA19,PY19
BE20,female,Julie Byrd,20/09/1984,38,PRO20,CA20,PA20,PY20
BE21,female,Lori Stuart,12/11/1983,39,PRO21,CA21,PA21,PY21
BE22,female,Courtney Clark,12/02/1988,34,PRO22,CA22,PA22,PY22
BE23,male,Jeffrey Robinson,15/09/1990,32,PRO23,CA23,PA23,PY23
BE24,female,Susan Moore,18/06/1998,24,PRO24,CA24,PA24,PY24
BE25,female,Jennifer Cruz,30/08/1998,24,PRO25,CA25,PA25,PY25
BE26,female,Katrina Huff,10/04/1992,30,PRO26,CA26,PA26,PY26
BE27,male,Austin Grant,14/05/2003,19,PRO27,CA27,PA27,PY27
BE28,male,Christopher Green,16/08/1985,37,PRO28,CA28,PA28,PY28
BE29,male,Corey Reed,02/04/1989,33,PRO29,CA29,PA29,PY29
BE30,male,Gregory Lynch,23/08/1986,36,PRO30,CA30,PA30,PY30
BE31,na,Jimmy Bell,18/05/1992,30,PRO31,CA31,PA31,PY31
